,Adgroup,region_name,Conversions,Clicks
456,281541,Kalabrien,0.01,127
457,118295,Sardinien,0.0,5
458,168228,Sardinien,1.3,484
459,124877,Südtirol,1.0,121
460,38328,Lombardei,0.0,252
461,1353872,Venetien,0.0,45
462,543173,Venetien,0.0,1
463,194775,Venetien,0.0,29
464,37363,Venetien,0.0,1
465,167600,Venetien,0.0,71
466,1375304,Venetien,1.0,11
467,52171,Lombardei,2.0,186
468,52922,Kalabrien,0.0,18
469,52406,Lombardei,1.0,282
470,36894,Latium,0.0,8
471,82842,Sizilien,1.1,113
472,544933,Venetien,0.0,1
473,151026,Südtirol,0.01,88
474,52279,Lombardei,0.0,3
475,132803,Venetien,0.0,3
476,35635,Venetien,0.0,110
477,53218,Sardinien,0.02,78
478,85555,Sardinien,0.36,98
479,53651,Toskana,0.0,54
480,52127,Trentino,0.0,117
481,99058,Venetien,0.0,2
482,21298,Venetien,0.0,68
483,52180,Lombardei,0.0,165
484,20814,Venetien,0.0,83
485,55234,Südtirol,0.0,46
486,53254,Sardinien,0.86,97
487,36373,Lombardei,0.0,7
488,1478821,Venetien,0.5,109
489,22137,Kalabrien,0.0,1
490,319874,Sardinien,0.03,469
